,coder_3,coder_1,coder_4,coder_2
col de Tricot,LOCATION,LOCATION,LOCATION,LOCATION
glacier de Tête-Rousse,LOCATION,LOCATION,LOCATION,LOCATION
Sarthe,LOCATION,LOCATION,LOCATION,LOCATION
Allonnes,LOCATION,LOCATION,LOCATION,LOCATION
Centre hospitalier spécialisé (CHS) de la Sarthe,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
La Ferté-Bernard,LOCATION,LOCATION,LOCATION,LOCATION
Centre hospitalier Paul Chapron,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
Le Mans,LOCATION,LOCATION,LOCATION,LOCATION
Clinique Victor Hugo,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
Centre médico-chirurgical - Pôle Santé Sud,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
Clinique du Tertre Rouge,ORGANISATION,ORGANISATION,ORGANISATION,ORGANISATION
